model_type_all,model_acc_all,2018,2018_pre,2018_min,2018_min_pre,2018_avg_pre,2018_avg,2018_max_pre,2018_max,model_type_6main,model_acc_6main
2018,0.621212121,0.621212121,0.666666667,0.792929293,0.823232323,0.818181818,0.818181818,0.828282828,0.777777778,2018_min,0.792929293
2018,0.671717172,0.671717172,0.732323232,0.808080808,0.828282828,0.818181818,0.818181818,0.787878788,0.767676768,2018_min,0.808080808
2018,0.666666667,0.666666667,0.712121212,0.833333333,0.818181818,0.833333333,0.813131313,0.797979798,0.792929293,2018_min,0.833333333
2018,0.601010101,0.601010101,0.722222222,0.838383838,0.818181818,0.813131313,0.843434343,0.823232323,0.808080808,2018_min,0.838383838
2018,0.641414141,0.641414141,0.691919192,0.833333333,0.823232323,0.803030303,0.823232323,0.752525253,0.808080808,2018_min,0.833333333
2018,0.681818182,0.681818182,0.681818182,0.823232323,0.838383838,0.808080808,0.823232323,0.838383838,0.787878788,2018_min,0.823232323
2018,0.651515152,0.651515152,0.671717172,0.792929293,0.843434343,0.808080808,0.838383838,0.803030303,0.787878788,2018_min,0.792929293
2018,0.712121212,0.712121212,0.722222222,0.828282828,0.803030303,0.797979798,0.843434343,0.808080808,0.777777778,2018_min,0.828282828
2018,0.686868687,0.686868687,0.651515152,0.818181818,0.843434343,0.797979798,0.803030303,0.782828283,0.787878788,2018_min,0.818181818
2018,0.656565657,0.656565657,0.707070707,0.803030303,0.838383838,0.818181818,0.797979798,0.813131313,0.782828283,2018_min,0.803030303
2018,0.616161616,0.616161616,0.727272727,0.818181818,0.813131313,0.787878788,0.823232323,0.803030303,0.818181818,2018_min,0.818181818
2018,0.641414141,0.641414141,0.702020202,0.818181818,0.828282828,0.848484848,0.828282828,0.792929293,0.797979798,2018_min,0.818181818
2018,0.651515152,0.651515152,0.696969697,0.813131313,0.838383838,0.818181818,0.843434343,0.808080808,0.823232323,2018_min,0.813131313
2018,0.661616162,0.661616162,0.707070707,0.803030303,0.808080808,0.818181818,0.823232323,0.772727273,0.772727273,2018_min,0.803030303
2018,0.641414141,0.641414141,0.696969697,0.787878788,0.838383838,0.803030303,0.777777778,0.818181818,0.828282828,2018_min,0.787878788
2018,0.631313131,0.631313131,0.691919192,0.833333333,0.843434343,0.803030303,0.843434343,0.797979798,0.792929293,2018_min,0.833333333
2018,0.666666667,0.666666667,0.691919192,0.828282828,0.843434343,0.797979798,0.823232323,0.757575758,0.772727273,2018_min,0.828282828
2018,0.666666667,0.666666667,0.691919192,0.838383838,0.818181818,0.823232323,0.782828283,0.838383838,0.803030303,2018_min,0.838383838
2018,0.671717172,0.671717172,0.691919192,0.843434343,0.803030303,0.803030303,0.792929293,0.797979798,0.787878788,2018_min,0.843434343
2018,0.661616162,0.661616162,0.722222222,0.803030303,0.797979798,0.818181818,0.838383838,0.787878788,0.777777778,2018_min,0.803030303
2018,0.626262626,0.626262626,0.696969697,0.833333333,0.792929293,0.853535354,0.803030303,0.777777778,0.787878788,2018_min,0.833333333
2018,0.621212121,0.621212121,0.681818182,0.792929293,0.823232323,0.823232323,0.843434343,0.787878788,0.777777778,2018_min,0.792929293
2018,0.626262626,0.626262626,0.712121212,0.838383838,0.828282828,0.797979798,0.818181818,0.787878788,0.797979798,2018_min,0.838383838
2018,0.641414141,0.641414141,0.702020202,0.838383838,0.818181818,0.823232323,0.813131313,0.808080808,0.797979798,2018_min,0.838383838
2018,0.641414141,0.641414141,0.671717172,0.848484848,0.823232323,0.803030303,0.828282828,0.792929293,0.787878788,2018_min,0.848484848
2018,0.651515152,0.651515152,0.707070707,0.818181818,0.818181818,0.808080808,0.813131313,0.808080808,0.808080808,2018_min,0.818181818
2018,0.656565657,0.656565657,0.671717172,0.853535354,0.792929293,0.792929293,0.818181818,0.828282828,0.813131313,2018_min,0.853535354
2018,0.656565657,0.656565657,0.686868687,0.818181818,0.823232323,0.823232323,0.813131313,0.828282828,0.792929293,2018_min,0.818181818
2018,0.611111111,0.611111111,0.712121212,0.833333333,0.818181818,0.792929293,0.808080808,0.772727273,0.777777778,2018_min,0.833333333
2018,0.651515152,0.651515152,0.707070707,0.828282828,0.777777778,0.868686869,0.828282828,0.803030303,0.803030303,2018_min,0.828282828
2018,0.651515152,0.651515152,0.671717172,0.833333333,0.833333333,0.797979798,0.797979798,0.808080808,0.813131313,2018_min,0.833333333
2018,0.626262626,0.626262626,0.676767677,0.797979798,0.823232323,0.772727273,0.833333333,0.777777778,0.803030303,2018_min,0.797979798
2018,0.651515152,0.651515152,0.727272727,0.833333333,0.818181818,0.813131313,0.818181818,0.813131313,0.808080808,2018_min,0.833333333
2018,0.651515152,0.651515152,0.712121212,0.828282828,0.803030303,0.808080808,0.828282828,0.772727273,0.808080808,2018_min,0.828282828
2018,0.656565657,0.656565657,0.661616162,0.823232323,0.808080808,0.792929293,0.828282828,0.813131313,0.818181818,2018_min,0.823232323
2018,0.656565657,0.656565657,0.681818182,0.843434343,0.818181818,0.833333333,0.833333333,0.818181818,0.772727273,2018_min,0.843434343
2018,0.641414141,0.641414141,0.686868687,0.818181818,0.848484848,0.813131313,0.823232323,0.838383838,0.808080808,2018_min,0.818181818
2018,0.641414141,0.641414141,0.717171717,0.813131313,0.808080808,0.787878788,0.797979798,0.782828283,0.797979798,2018_min,0.813131313
2018,0.641414141,0.641414141,0.676767677,0.828282828,0.797979798,0.833333333,0.848484848,0.787878788,0.787878788,2018_min,0.828282828
2018,0.626262626,0.626262626,0.681818182,0.828282828,0.833333333,0.808080808,0.818181818,0.782828283,0.787878788,2018_min,0.828282828
2018,0.626262626,0.626262626,0.681818182,0.792929293,0.823232323,0.808080808,0.823232323,0.762626263,0.808080808,2018_min,0.792929293
2018,0.702020202,0.702020202,0.702020202,0.843434343,0.853535354,0.818181818,0.843434343,0.838383838,0.787878788,2018_min,0.843434343
2018,0.626262626,0.626262626,0.727272727,0.803030303,0.808080808,0.808080808,0.828282828,0.808080808,0.813131313,2018_min,0.803030303
2018,0.666666667,0.666666667,0.707070707,0.818181818,0.828282828,0.803030303,0.813131313,0.792929293,0.782828283,2018_min,0.818181818
2018,0.656565657,0.656565657,0.707070707,0.828282828,0.803030303,0.828282828,0.843434343,0.792929293,0.813131313,2018_min,0.828282828
2018,0.626262626,0.626262626,0.707070707,0.813131313,0.818181818,0.818181818,0.808080808,0.808080808,0.782828283,2018_min,0.813131313
2018,0.656565657,0.656565657,0.696969697,0.767676768,0.823232323,0.843434343,0.838383838,0.797979798,0.772727273,2018_min,0.767676768
2018,0.621212121,0.621212121,0.691919192,0.808080808,0.863636364,0.818181818,0.828282828,0.762626263,0.742424242,2018_min,0.808080808
2018,0.621212121,0.621212121,0.702020202,0.843434343,0.813131313,0.823232323,0.808080808,0.772727273,0.797979798,2018_min,0.843434343
2018,0.671717172,0.671717172,0.686868687,0.823232323,0.833333333,0.782828283,0.823232323,0.772727273,0.818181818,2018_min,0.823232323
2018,0.691919192,0.691919192,0.681818182,0.838383838,0.828282828,0.792929293,0.808080808,0.787878788,0.782828283,2018_min,0.838383838
2018,0.666666667,0.666666667,0.641414141,0.818181818,0.818181818,0.792929293,0.792929293,0.792929293,0.777777778,2018_min,0.818181818
2018,0.626262626,0.626262626,0.686868687,0.823232323,0.818181818,0.797979798,0.803030303,0.833333333,0.777777778,2018_min,0.823232323
2018,0.636363636,0.636363636,0.691919192,0.843434343,0.828282828,0.808080808,0.823232323,0.797979798,0.823232323,2018_min,0.843434343
2018,0.651515152,0.651515152,0.722222222,0.797979798,0.808080808,0.792929293,0.828282828,0.838383838,0.797979798,2018_min,0.797979798
2018,0.656565657,0.656565657,0.681818182,0.792929293,0.797979798,0.818181818,0.833333333,0.797979798,0.838383838,2018_min,0.792929293
2018,0.727272727,0.727272727,0.661616162,0.838383838,0.797979798,0.833333333,0.747474747,0.792929293,0.782828283,2018_min,0.838383838
2018,0.626262626,0.626262626,0.676767677,0.797979798,0.818181818,0.803030303,0.792929293,0.797979798,0.813131313,2018_min,0.797979798
2018,0.671717172,0.671717172,0.691919192,0.833333333,0.828282828,0.777777778,0.752525253,0.813131313,0.777777778,2018_min,0.833333333
2018,0.676767677,0.676767677,0.712121212,0.828282828,0.828282828,0.818181818,0.787878788,0.767676768,0.818181818,2018_min,0.828282828
2018,0.676767677,0.676767677,0.681818182,0.838383838,0.828282828,0.823232323,0.828282828,0.792929293,0.782828283,2018_min,0.838383838
2018,0.666666667,0.666666667,0.702020202,0.777777778,0.853535354,0.797979798,0.838383838,0.782828283,0.803030303,2018_min,0.777777778
2018,0.636363636,0.636363636,0.702020202,0.803030303,0.858585859,0.808080808,0.823232323,0.767676768,0.818181818,2018_min,0.803030303
2018,0.651515152,0.651515152,0.702020202,0.782828283,0.803030303,0.792929293,0.823232323,0.823232323,0.818181818,2018_min,0.782828283
2018,0.681818182,0.681818182,0.661616162,0.782828283,0.797979798,0.818181818,0.813131313,0.797979798,0.747474747,2018_min,0.782828283
2018,0.737373737,0.737373737,0.712121212,0.833333333,0.797979798,0.853535354,0.808080808,0.813131313,0.787878788,2018_min,0.833333333
2018,0.661616162,0.661616162,0.707070707,0.838383838,0.823232323,0.782828283,0.813131313,0.813131313,0.777777778,2018_min,0.838383838
2018,0.636363636,0.636363636,0.671717172,0.823232323,0.823232323,0.813131313,0.833333333,0.792929293,0.787878788,2018_min,0.823232323
2018,0.691919192,0.691919192,0.722222222,0.782828283,0.813131313,0.818181818,0.792929293,0.772727273,0.782828283,2018_min,0.782828283
2018,0.626262626,0.626262626,0.691919192,0.833333333,0.833333333,0.828282828,0.792929293,0.767676768,0.792929293,2018_min,0.833333333
2018,0.686868687,0.686868687,0.722222222,0.858585859,0.853535354,0.843434343,0.818181818,0.803030303,0.797979798,2018_min,0.858585859
2018,0.707070707,0.707070707,0.707070707,0.792929293,0.803030303,0.808080808,0.818181818,0.823232323,0.818181818,2018_min,0.792929293
2018,0.651515152,0.651515152,0.691919192,0.803030303,0.838383838,0.792929293,0.803030303,0.797979798,0.808080808,2018_min,0.803030303
2018,0.611111111,0.611111111,0.696969697,0.797979798,0.843434343,0.808080808,0.797979798,0.813131313,0.777777778,2018_min,0.797979798
2018,0.636363636,0.636363636,0.702020202,0.797979798,0.808080808,0.833333333,0.787878788,0.828282828,0.772727273,2018_min,0.797979798
2018,0.666666667,0.666666667,0.686868687,0.833333333,0.838383838,0.777777778,0.808080808,0.838383838,0.808080808,2018_min,0.833333333
2018,0.636363636,0.636363636,0.712121212,0.782828283,0.838383838,0.818181818,0.808080808,0.828282828,0.803030303,2018_min,0.782828283
2018,0.641414141,0.641414141,0.691919192,0.797979798,0.828282828,0.813131313,0.792929293,0.833333333,0.787878788,2018_min,0.797979798
2018,0.626262626,0.626262626,0.696969697,0.823232323,0.863636364,0.838383838,0.828282828,0.808080808,0.787878788,2018_min,0.823232323
2018,0.676767677,0.676767677,0.656565657,0.792929293,0.833333333,0.833333333,0.823232323,0.818181818,0.792929293,2018_min,0.792929293
2018,0.641414141,0.641414141,0.686868687,0.828282828,0.853535354,0.823232323,0.828282828,0.787878788,0.782828283,2018_min,0.828282828
2018,0.636363636,0.636363636,0.727272727,0.808080808,0.813131313,0.828282828,0.818181818,0.782828283,0.797979798,2018_min,0.808080808
2018,0.646464646,0.646464646,0.681818182,0.813131313,0.808080808,0.813131313,0.813131313,0.823232323,0.808080808,2018_min,0.813131313
2018,0.681818182,0.681818182,0.702020202,0.823232323,0.843434343,0.813131313,0.803030303,0.777777778,0.787878788,2018_min,0.823232323
2018,0.676767677,0.676767677,0.686868687,0.808080808,0.813131313,0.808080808,0.823232323,0.797979798,0.797979798,2018_min,0.808080808
2018,0.656565657,0.656565657,0.671717172,0.808080808,0.848484848,0.813131313,0.818181818,0.833333333,0.792929293,2018_min,0.808080808
2018,0.671717172,0.671717172,0.661616162,0.848484848,0.808080808,0.772727273,0.813131313,0.808080808,0.792929293,2018_min,0.848484848
2018,0.616161616,0.616161616,0.691919192,0.818181818,0.797979798,0.838383838,0.797979798,0.797979798,0.813131313,2018_min,0.818181818
2018,0.727272727,0.727272727,0.671717172,0.767676768,0.828282828,0.848484848,0.833333333,0.813131313,0.803030303,2018_min,0.767676768
2018,0.631313131,0.631313131,0.661616162,0.813131313,0.818181818,0.828282828,0.858585859,0.792929293,0.777777778,2018_min,0.813131313
2018,0.641414141,0.641414141,0.707070707,0.813131313,0.818181818,0.782828283,0.792929293,0.797979798,0.787878788,2018_min,0.813131313
2018,0.681818182,0.681818182,0.656565657,0.833333333,0.818181818,0.797979798,0.838383838,0.833333333,0.777777778,2018_min,0.833333333
2018,0.656565657,0.656565657,0.702020202,0.818181818,0.843434343,0.803030303,0.823232323,0.808080808,0.777777778,2018_min,0.818181818
2018,0.651515152,0.651515152,0.712121212,0.833333333,0.808080808,0.803030303,0.792929293,0.818181818,0.782828283,2018_min,0.833333333
2018,0.656565657,0.656565657,0.696969697,0.853535354,0.808080808,0.823232323,0.823232323,0.757575758,0.782828283,2018_min,0.853535354
2018,0.641414141,0.641414141,0.696969697,0.818181818,0.818181818,0.823232323,0.782828283,0.833333333,0.818181818,2018_min,0.818181818
2018,0.656565657,0.656565657,0.666666667,0.823232323,0.828282828,0.818181818,0.818181818,0.787878788,0.792929293,2018_min,0.823232323
2018,0.626262626,0.626262626,0.727272727,0.747474747,0.818181818,0.792929293,0.833333333,0.777777778,0.757575758,2018_min,0.747474747
2018,0.661616162,0.661616162,0.696969697,0.833333333,0.797979798,0.803030303,0.787878788,0.808080808,0.782828283,2018_min,0.833333333
2018,0.626262626,0.626262626,0.722222222,0.803030303,0.803030303,0.808080808,0.828282828,0.782828283,0.823232323,2018_min,0.803030303
2018,0.656565657,0.656565657,0.722222222,0.792929293,0.813131313,0.782828283,0.813131313,0.808080808,0.823232323,2018_min,0.792929293
2018,0.686868687,0.686868687,0.707070707,0.843434343,0.803030303,0.838383838,0.833333333,0.782828283,0.787878788,2018_min,0.843434343
2018,0.646464646,0.646464646,0.702020202,0.808080808,0.828282828,0.792929293,0.828282828,0.803030303,0.797979798,2018_min,0.808080808
2018,0.691919192,0.691919192,0.707070707,0.828282828,0.792929293,0.833333333,0.833333333,0.762626263,0.808080808,2018_min,0.828282828
2018,0.636363636,0.636363636,0.681818182,0.797979798,0.823232323,0.833333333,0.818181818,0.797979798,0.797979798,2018_min,0.797979798
2018,0.626262626,0.626262626,0.621212121,0.813131313,0.813131313,0.818181818,0.808080808,0.792929293,0.797979798,2018_min,0.813131313
2018,0.666666667,0.666666667,0.696969697,0.813131313,0.782828283,0.823232323,0.818181818,0.772727273,0.808080808,2018_min,0.813131313
2018,0.691919192,0.691919192,0.681818182,0.838383838,0.828282828,0.797979798,0.823232323,0.797979798,0.772727273,2018_min,0.838383838
2018,0.661616162,0.661616162,0.661616162,0.838383838,0.833333333,0.808080808,0.792929293,0.797979798,0.818181818,2018_min,0.838383838
2018,0.631313131,0.631313131,0.712121212,0.848484848,0.787878788,0.797979798,0.828282828,0.843434343,0.772727273,2018_min,0.848484848
2018,0.626262626,0.626262626,0.686868687,0.782828283,0.787878788,0.797979798,0.823232323,0.828282828,0.828282828,2018_min,0.782828283
2018,0.656565657,0.656565657,0.691919192,0.777777778,0.797979798,0.818181818,0.813131313,0.797979798,0.777777778,2018_min,0.777777778
2018,0.676767677,0.676767677,0.686868687,0.843434343,0.838383838,0.843434343,0.818181818,0.767676768,0.813131313,2018_min,0.843434343
2018,0.651515152,0.651515152,0.722222222,0.797979798,0.838383838,0.813131313,0.843434343,0.777777778,0.818181818,2018_min,0.797979798
2018,0.641414141,0.641414141,0.681818182,0.823232323,0.843434343,0.828282828,0.782828283,0.797979798,0.792929293,2018_min,0.823232323
2018,0.651515152,0.651515152,0.676767677,0.818181818,0.833333333,0.818181818,0.803030303,0.803030303,0.787878788,2018_min,0.818181818
2018,0.666666667,0.666666667,0.681818182,0.813131313,0.782828283,0.818181818,0.828282828,0.782828283,0.813131313,2018_min,0.813131313
2018,0.646464646,0.646464646,0.737373737,0.823232323,0.848484848,0.792929293,0.858585859,0.803030303,0.818181818,2018_min,0.823232323
2018,0.676767677,0.676767677,0.656565657,0.818181818,0.813131313,0.813131313,0.818181818,0.772727273,0.813131313,2018_min,0.818181818
2018,0.646464646,0.646464646,0.727272727,0.803030303,0.838383838,0.848484848,0.762626263,0.828282828,0.797979798,2018_min,0.803030303
2018,0.646464646,0.646464646,0.696969697,0.838383838,0.833333333,0.777777778,0.838383838,0.787878788,0.777777778,2018_min,0.838383838
2018,0.646464646,0.646464646,0.681818182,0.813131313,0.792929293,0.803030303,0.803030303,0.782828283,0.818181818,2018_min,0.813131313
2018,0.641414141,0.641414141,0.717171717,0.828282828,0.843434343,0.838383838,0.828282828,0.803030303,0.818181818,2018_min,0.828282828
2018,0.671717172,0.671717172,0.691919192,0.838383838,0.813131313,0.808080808,0.803030303,0.808080808,0.797979798,2018_min,0.838383838
2018,0.656565657,0.656565657,0.681818182,0.777777778,0.808080808,0.787878788,0.813131313,0.803030303,0.808080808,2018_min,0.777777778
2018,0.656565657,0.656565657,0.651515152,0.818181818,0.813131313,0.813131313,0.823232323,0.808080808,0.808080808,2018_min,0.818181818
2018,0.626262626,0.626262626,0.661616162,0.833333333,0.853535354,0.808080808,0.803030303,0.787878788,0.787878788,2018_min,0.833333333
2018,0.676767677,0.676767677,0.696969697,0.838383838,0.823232323,0.853535354,0.848484848,0.823232323,0.803030303,2018_min,0.838383838
2018,0.671717172,0.671717172,0.702020202,0.797979798,0.833333333,0.828282828,0.803030303,0.813131313,0.797979798,2018_min,0.797979798
2018,0.686868687,0.686868687,0.661616162,0.787878788,0.833333333,0.792929293,0.828282828,0.792929293,0.787878788,2018_min,0.787878788
2018,0.646464646,0.646464646,0.681818182,0.838383838,0.838383838,0.818181818,0.808080808,0.772727273,0.797979798,2018_min,0.838383838
2018,0.651515152,0.651515152,0.661616162,0.808080808,0.803030303,0.797979798,0.828282828,0.777777778,0.813131313,2018_min,0.808080808
2018,0.656565657,0.656565657,0.707070707,0.792929293,0.828282828,0.823232323,0.833333333,0.813131313,0.797979798,2018_min,0.792929293
2018,0.646464646,0.646464646,0.717171717,0.848484848,0.843434343,0.843434343,0.803030303,0.797979798,0.797979798,2018_min,0.848484848
2018,0.651515152,0.651515152,0.661616162,0.797979798,0.772727273,0.787878788,0.838383838,0.787878788,0.782828283,2018_min,0.797979798
2018,0.631313131,0.631313131,0.712121212,0.803030303,0.803030303,0.838383838,0.813131313,0.808080808,0.772727273,2018_min,0.803030303
2018,0.646464646,0.646464646,0.671717172,0.848484848,0.823232323,0.813131313,0.818181818,0.792929293,0.813131313,2018_min,0.848484848
2018,0.611111111,0.611111111,0.676767677,0.833333333,0.818181818,0.797979798,0.808080808,0.833333333,0.787878788,2018_min,0.833333333
2018,0.641414141,0.641414141,0.686868687,0.813131313,0.838383838,0.808080808,0.818181818,0.782828283,0.803030303,2018_min,0.813131313
2018,0.641414141,0.641414141,0.681818182,0.818181818,0.787878788,0.833333333,0.803030303,0.828282828,0.787878788,2018_min,0.818181818
2018,0.611111111,0.611111111,0.737373737,0.848484848,0.828282828,0.797979798,0.808080808,0.818181818,0.828282828,2018_min,0.848484848
2018,0.641414141,0.641414141,0.646464646,0.797979798,0.833333333,0.818181818,0.818181818,0.772727273,0.808080808,2018_min,0.797979798
2018,0.696969697,0.696969697,0.676767677,0.808080808,0.843434343,0.833333333,0.792929293,0.808080808,0.777777778,2018_min,0.808080808
2018,0.681818182,0.681818182,0.681818182,0.853535354,0.808080808,0.823232323,0.797979798,0.808080808,0.808080808,2018_min,0.853535354
2018,0.651515152,0.651515152,0.686868687,0.808080808,0.818181818,0.818181818,0.823232323,0.818181818,0.797979798,2018_min,0.808080808
2018,0.671717172,0.671717172,0.666666667,0.833333333,0.853535354,0.813131313,0.797979798,0.787878788,0.818181818,2018_min,0.833333333
2018,0.626262626,0.626262626,0.702020202,0.797979798,0.843434343,0.843434343,0.813131313,0.782828283,0.792929293,2018_min,0.797979798
